Warehouse,Product,Stock Level,Reorder Level,Supplier,Last Updated,Transport Cost
WH-B,Keyboard,270.0,63,Supplier-B,2024-09-14,1857
WH-D,Keyboard,21.0,83,Supplier-X,2025-04-05,1389
WH-C,Tablet,302.0,193,Supplier-A,2026-04-20,2660
WH-A,Mobile,,144,Supplier-Y,2025-03-25,1348
WH-E,Tablet,,143,Supplier-A,2025-10-12,2557
WH-A,Mouse,369.0,76,Supplier-Y,2025-01-22,1688
WH-E,Printer,403.0,110,Supplier-B,2026-03-19,4101
WH-B,Tablet,32.0,135,Supplier-A,2024-08-03,2046
WH-D,Monitor,101.0,77,Supplier-Z,2026-01-18,2148
WH-A,Camera,122.0,167,Supplier-Y,2025-06-22,2095
WH-C,Monitor,32.0,152,Supplier-Y,2025-08-21,1614
WH-C,Mobile,199.0,152,Supplier-Z,2024-10-05,2494
WH-E,Mouse,79.0,116,Supplier-X,2026-06-17,1428
WH-E,Keyboard,75.0,138,Supplier-X,2025-04-21,1798
WH-C,Printer,281.0,197,Supplier-B,2024-08-31,2990
WH-C,Laptop,20.0,187,Supplier-A,2025-09-02,2461
WH-B,Mouse,55.0,134,Supplier-A,2025-02-13,1284
WH-C,Mobile,279.0,154,Supplier-Z,2026-04-06,2554
WH-D,Keyboard,85.0,220,Supplier-B,2025-11-01,1849
WH-B,Keyboard,300.0,127,Supplier-A,2025-10-24,1946
WH-B,Printer,330.0,169,Supplier-B,2026-05-19,3066
WH-D,Monitor,262.0,238,Supplier-B,2026-05-01,2722
WH-A,Keyboard,359.0,135,Supplier-B,2025-04-07,1924
WH-B,Keyboard,432.0,56,Supplier-Y,2025-09-22,2019
WH-B,Camera,455.0,166,Supplier-B,2024-11-27,3627
WH-E,Monitor,273.0,87,Supplier-A,2025-12-30,3104
WH-A,Mobile,132.0,228,Supplier-A,2024-08-24,1911
WH-D,Laptop,147.0,81,Supplier-B,2024-08-05,3024
WH-B,Camera,306.0,243,Supplier-B,2025-11-26,3194
WH-E,Printer,248.0,240,Supplier-B,2024-12-25,3635
WH-D,Camera,404.0,213,Supplier-Z,2026-02-21,3603
WH-E,Camera,160.0,232,Supplier-Y,2025-02-10,2976
WH-B,Keyboard,183.0,70,Supplier-Z,2024-08-31,1419
WH-B,Monitor,375.0,104,Supplier-A,2026-04-26,2507
WH-D,Printer,297.0,65,Supplier-Z,2024-12-28,3046
WH-D,Printer,,245,Supplier-B,2026-05-05,2544
WH-D,Camera,200.0,149,Supplier-X,2024-09-17,3086
WH-D,Monitor,132.0,174,Supplier-A,2025-04-22,2160
WH-D,Mouse,390.0,169,Supplier-A,2025-02-01,2435
WH-E,Laptop,323.0,56,Supplier-A,2025-06-18,3461
WH-D,Tablet,,147,Supplier-A,2025-11-06,2117
WH-B,Camera,192.0,147,Supplier-Z,2026-04-09,2568
WH-D,Keyboard,,188,Supplier-X,2025-04-10,1026
WH-C,Monitor,419.0,60,Supplier-X,2024-11-04,2893
WH-A,Monitor,,89,Supplier-Y,2025-04-14,1072
WH-B,Camera,308.0,169,Supplier-X,2025-04-02,2932
WH-C,Mouse,330.0,241,Supplier-Y,2024-12-10,2157
WH-A,Tablet,75.0,129,Supplier-Z,2025-12-03,1769
WH-D,Printer,58.0,210,Supplier-Y,2025-01-24,2248
WH-A,Keyboard,432.0,194,Supplier-B,2025-12-28,2496
WH-A,Mouse,239.0,67,Supplier-B,2026-06-28,1676
WH-C,Laptop,441.0,160,Supplier-A,2025-12-13,3558
WH-D,Tablet,110.0,216,Supplier-A,2025-11-16,2418
WH-E,Camera,243.0,201,Supplier-A,2024-08-25,3416
WH-C,Monitor,162.0,112,Supplier-X,2025-10-17,2120
WH-D,Printer,34.0,133,Supplier-Z,2025-11-06,2245
WH-D,Monitor,428.0,121,Supplier-Z,2024-11-10,3384
WH-E,Keyboard,25.0,98,Supplier-B,2025-08-19,1718
WH-B,Printer,304.0,226,Supplier-A,2026-01-18,2905
WH-D,Camera,67.0,153,Supplier-X,2025-01-07,2605
WH-B,Keyboard,208.0,185,Supplier-B,2024-11-04,1800
WH-D,Mouse,379.0,128,Supplier-Z,2025-06-25,2365
WH-B,Mobile,181.0,187,Supplier-Y,2025-04-21,2183
WH-B,Monitor,398.0,235,Supplier-Y,2025-01-26,2645
WH-E,Keyboard,446.0,108,Supplier-X,2026-06-19,2722
WH-B,Keyboard,382.0,120,Supplier-X,2025-11-10,1769
WH-A,Keyboard,346.0,175,Supplier-Y,2025-12-17,1590
WH-A,Keyboard,265.0,97,Supplier-A,2025-09-06,1521
WH-C,Camera,,175,Supplier-X,2024-12-18,1887
WH-E,Laptop,96.0,127,Supplier-Y,2025-12-14,2581
WH-B,Mobile,411.0,202,Supplier-B,2025-03-09,3187
WH-E,Monitor,214.0,163,Supplier-B,2026-04-16,2844
WH-E,Printer,311.0,206,Supplier-Z,2026-02-17,3561
WH-A,Monitor,155.0,90,Supplier-Y,2026-02-23,1537
WH-B,Mobile,21.0,226,Supplier-Y,2024-08-13,1617
WH-D,Keyboard,138.0,122,Supplier-X,2024-12-25,1773
WH-D,Mobile,493.0,210,Supplier-Y,2026-03-31,3430
WH-B,Printer,298.0,88,Supplier-X,2024-07-25,2480
WH-B,Mobile,104.0,202,Supplier-X,2026-03-18,1845
WH-E,Keyboard,83.0,127,Supplier-A,2025-03-03,2107
WH-D,Keyboard,296.0,70,Supplier-B,2025-05-08,2594
WH-A,Printer,329.0,73,Supplier-Z,2025-01-24,2554
WH-E,Laptop,,243,Supplier-Z,2024-08-21,2439
WH-D,Camera,112.0,161,Supplier-Z,2024-12-11,2911
WH-D,Mobile,198.0,132,Supplier-A,2026-06-10,2787
WH-A,Tablet,230.0,123,Supplier-Z,2025-09-14,2279
WH-D,Laptop,65.0,132,Supplier-A,2026-05-12,2504
WH-D,Laptop,256.0,98,Supplier-B,2026-01-09,3383
WH-C,Camera,,118,Supplier-A,2025-03-02,2431
WH-B,Keyboard,470.0,81,Supplier-A,2024-12-13,2324
WH-E,Monitor,179.0,191,Supplier-Y,2025-11-22,2495
WH-A,Monitor,256.0,215,Supplier-X,2025-07-23,2044
WH-B,Camera,280.0,156,Supplier-Z,2025-05-04,3117
WH-D,Camera,253.0,148,Supplier-Y,2026-05-19,3006
WH-E,Tablet,161.0,156,Supplier-X,2026-06-11,2507
WH-E,Keyboard,164.0,200,Supplier-X,2025-11-12,1988
WH-D,Tablet,295.0,135,Supplier-A,2025-06-22,3117
WH-E,Printer,497.0,98,Supplier-A,2024-10-19,4198
WH-B,Printer,458.0,61,Supplier-Y,2025-01-22,3086
WH-D,Printer,359.0,216,Supplier-A,2024-10-17,3304
WH-D,Laptop,277.0,134,Supplier-Y,2025-01-08,3326
WH-A,Camera,289.0,53,Supplier-X,2026-01-30,2686
WH-B,Printer,58.0,117,Supplier-Y,2025-09-10,1897
WH-E,Printer,456.0,222,Supplier-X,2025-08-23,3857
WH-E,Printer,340.0,244,Supplier-Z,2025-01-21,3519
WH-E,Laptop,55.0,225,Supplier-B,2026-02-01,2862
WH-B,Mobile,70.0,230,Supplier-A,2025-09-28,2106
WH-A,Camera,375.0,57,Supplier-Y,2025-05-29,2698
WH-C,Laptop,203.0,87,Supplier-Z,2026-05-29,2684
WH-E,Printer,369.0,93,Supplier-B,2025-09-27,3646
WH-A,Printer,369.0,199,Supplier-B,2025-05-07,2830
WH-B,Camera,255.0,52,Supplier-Z,2025-04-08,3026
WH-D,Keyboard,,138,Supplier-B,2024-12-18,1700
WH-C,Printer,253.0,100,Supplier-Z,2024-10-16,2805
WH-D,Mobile,215.0,197,Supplier-Y,2025-07-31,2446
WH-C,Laptop,,225,Supplier-A,2025-07-19,2448
WH-A,Camera,417.0,205,Supplier-Z,2024-09-09,3311
WH-C,Monitor,337.0,243,Supplier-Y,2026-02-08,2730
WH-B,Mobile,178.0,58,Supplier-X,2024-08-06,1980
WH-C,Tablet,485.0,241,Supplier-X,2026-04-30,3117
WH-B,Monitor,422.0,143,Supplier-Y,2024-09-24,2687
WH-E,Keyboard,151.0,173,Supplier-Y,2024-10-27,2165
WH-C,Mouse,259.0,86,Supplier-X,2025-10-31,1863
WH-B,Printer,,151,Supplier-B,2024-11-02,1857
WH-C,Mobile,208.0,222,Supplier-A,2026-03-08,2408
WH-E,Printer,75.0,170,Supplier-Z,2025-12-11,2487
WH-E,Mouse,133.0,212,Supplier-B,2025-05-24,2320
WH-D,Keyboard,79.0,59,Supplier-A,2025-10-07,1692
WH-D,Mobile,140.0,84,Supplier-X,2024-08-19,2168
WH-D,Mouse,234.0,236,Supplier-B,2025-04-25,2081
WH-D,Mobile,335.0,121,Supplier-A,2025-04-23,2871
WH-C,Monitor,247.0,142,Supplier-A,2025-10-06,2341
WH-C,Mouse,223.0,81,Supplier-X,2025-06-29,1803
WH-D,Mobile,348.0,55,Supplier-Y,2025-08-15,2719
WH-C,Monitor,422.0,67,Supplier-Y,2025-01-12,3040
WH-E,Monitor,130.0,109,Supplier-B,2025-09-03,2608
WH-B,Laptop,459.0,83,Supplier-Z,2026-04-30,3403
WH-C,Tablet,358.0,83,Supplier-X,2024-07-09,2531
WH-C,Monitor,,117,Supplier-B,2025-12-11,1676
WH-B,Printer,78.0,171,Supplier-B,2026-01-11,2313
WH-C,Mobile,277.0,207,Supplier-A,2024-09-27,2503
WH-E,Keyboard,349.0,65,Supplier-A,2025-12-12,2792
WH-D,Printer,271.0,163,Supplier-X,2026-05-19,2700
WH-A,Mouse,,120,Supplier-B,2025-08-22,1019
WH-E,Mouse,325.0,166,Supplier-A,2026-02-04,2633
WH-E,Printer,426.0,217,Supplier-X,2025-01-24,3661
WH-E,Monitor,251.0,155,Supplier-A,2026-02-17,2876
WH-D,Printer,,159,Supplier-A,2025-11-10,2310
WH-C,Mouse,371.0,67,Supplier-Y,2025-03-22,1959
WH-A,Mobile,69.0,145,Supplier-A,2024-09-25,1872
WH-B,Laptop,307.0,221,Supplier-B,2025-02-13,2933
WH-D,Mouse,464.0,63,Supplier-A,2025-06-03,2739
WH-E,Keyboard,73.0,104,Supplier-Z,2024-10-31,1698
WH-D,Monitor,199.0,144,Supplier-X,2025-06-18,2105
WH-C,Monitor,452.0,246,Supplier-A,2024-07-03,3325
WH-E,Laptop,495.0,227,Supplier-B,2026-01-12,4171
WH-A,Tablet,379.0,136,Supplier-Z,2026-05-12,2566
WH-A,Tablet,309.0,67,Supplier-Y,2026-01-10,2149
WH-A,Mobile,130.0,166,Supplier-B,2025-01-21,1914
WH-B,Mouse,389.0,195,Supplier-Z,2025-07-24,2172
WH-A,Laptop,100.0,62,Supplier-Y,2026-02-12,2095
WH-A,Keyboard,358.0,205,Supplier-A,2024-11-16,2000
WH-D,Keyboard,406.0,138,Supplier-Y,2025-07-30,2538
WH-A,Keyboard,269.0,128,Supplier-B,2026-06-09,1630
WH-B,Printer,,127,Supplier-B,2024-09-21,1958
WH-B,Keyboard,187.0,177,Supplier-Z,2026-05-08,1743
WH-D,Tablet,214.0,108,Supplier-Y,2025-10-29,2648
WH-E,Mouse,223.0,60,Supplier-X,2025-02-17,1992
WH-A,Camera,461.0,159,Supplier-X,2026-04-15,3126
WH-D,Printer,78.0,133,Supplier-Z,2025-11-09,2371
WH-E,Camera,65.0,77,Supplier-Z,2025-07-30,2769
WH-D,Printer,60.0,129,Supplier-B,2025-10-17,2811
WH-C,Monitor,418.0,180,Supplier-Z,2024-12-02,3028
WH-A,Monitor,199.0,215,Supplier-Z,2024-10-27,2064
WH-B,Monitor,94.0,94,Supplier-X,2025-04-17,1640
WH-B,Mobile,415.0,168,Supplier-Y,2026-02-13,2881
WH-E,Camera,349.0,209,Supplier-B,2024-11-03,3862
WH-C,Tablet,54.0,211,Supplier-A,2025-08-23,2067
WH-C,Laptop,,168,Supplier-Z,2026-02-25,2181
WH-A,Laptop,445.0,215,Supplier-Z,2026-06-17,3327
WH-A,Printer,317.0,239,Supplier-A,2025-08-16,2522
WH-D,Monitor,329.0,88,Supplier-Z,2026-06-14,2668
WH-D,Mobile,,215,Supplier-Z,2024-07-01,1838
WH-A,Monitor,244.0,206,Supplier-A,2025-10-09,1963
WH-C,Mouse,218.0,136,Supplier-Z,2025-03-09,1901
WH-E,Laptop,53.0,192,Supplier-Z,2025-07-15,2856
WH-D,Keyboard,390.0,204,Supplier-Z,2024-07-16,2817
WH-B,Mouse,318.0,139,Supplier-X,2024-09-25,1612
WH-D,Tablet,382.0,129,Supplier-B,2026-06-22,3482
WH-D,Mouse,363.0,239,Supplier-Y,2025-04-08,2439
WH-E,Mobile,280.0,142,Supplier-A,2026-05-14,3048
WH-B,Monitor,412.0,107,Supplier-Z,2026-04-07,2556
WH-B,Mobile,452.0,179,Supplier-Z,2026-03-19,3100
WH-E,Laptop,468.0,83,Supplier-Z,2025-02-24,4059
WH-D,Tablet,112.0,247,Supplier-Y,2025-01-02,2405
WH-B,Camera,230.0,234,Supplier-X,2024-08-14,2461
WH-D,Keyboard,139.0,129,Supplier-A,2025-01-04,2131
WH-D,Monitor,367.0,162,Supplier-Z,2026-05-13,2987
WH-C,Printer,290.0,91,Supplier-B,2025-09-14,3338
WH-B,Tablet,46.0,145,Supplier-Z,2024-08-31,1871
WH-A,Mobile,62.0,119,Supplier-Z,2024-09-05,1566
WH-E,Tablet,66.0,106,Supplier-A,2026-01-20,2766
WH-D,Mouse,,178,Supplier-X,2025-07-13,1091
WH-B,Printer,211.0,131,Supplier-X,2026-03-26,2133
WH-C,Tablet,39.0,170,Supplier-Y,2024-08-23,2023
WH-B,Camera,,70,Supplier-A,2026-02-11,1959
WH-C,Monitor,300.0,205,Supplier-Y,2025-08-18,2520
WH-D,Mobile,141.0,62,Supplier-Z,2026-02-15,2295
WH-D,Camera,76.0,177,Supplier-X,2024-10-06,2583
WH-E,Laptop,314.0,86,Supplier-B,2024-10-08,3641
WH-D,Laptop,200.0,156,Supplier-B,2025-11-25,3045
WH-A,Mouse,289.0,179,Supplier-X,2025-07-05,1450
WH-A,Printer,42.0,145,Supplier-A,2025-09-01,1805
WH-A,Mouse,196.0,218,Supplier-X,2024-11-06,1209
WH-A,Mouse,42.0,136,Supplier-Y,2025-01-22,942
WH-B,Camera,343.0,84,Supplier-A,2025-08-14,3011
WH-D,Laptop,,101,Supplier-Z,2026-05-09,2171
WH-C,Keyboard,223.0,189,Supplier-B,2025-10-15,2111
WH-C,Laptop,166.0,249,Supplier-Y,2025-05-25,2372
WH-C,Keyboard,429.0,152,Supplier-X,2024-12-12,2467
WH-D,Printer,115.0,177,Supplier-Z,2026-06-22,2583
WH-E,Keyboard,392.0,160,Supplier-X,2025-08-23,2684
WH-B,Keyboard,,219,Supplier-Z,2026-02-07,951
WH-C,Camera,387.0,226,Supplier-B,2026-01-18,3638
WH-C,Camera,392.0,140,Supplier-X,2025-12-18,3340
WH-D,Keyboard,58.0,153,Supplier-X,2024-12-04,1360
WH-E,Tablet,93.0,223,Supplier-X,2026-01-05,2529
WH-D,Laptop,54.0,215,Supplier-Y,2025-02-28,2399
WH-C,Printer,36.0,223,Supplier-B,2025-05-06,2388
WH-C,Mouse,,85,Supplier-A,2025-12-04,1271
WH-C,Printer,352.0,79,Supplier-Z,2025-11-17,2919
WH-B,Camera,218.0,80,Supplier-B,2025-04-17,2838
WH-C,Camera,333.0,175,Supplier-Y,2025-06-06,3051
WH-A,Tablet,251.0,232,Supplier-X,2026-05-30,2030
WH-A,Mouse,,188,Supplier-Z,2025-08-07,648
WH-C,Tablet,426.0,107,Supplier-Y,2025-06-16,2890
WH-B,Tablet,424.0,142,Supplier-Y,2024-10-02,2905
WH-E,Mouse,431.0,83,Supplier-A,2025-01-09,3006
WH-A,Mobile,223.0,234,Supplier-Z,2024-12-22,2064
WH-E,Printer,441.0,82,Supplier-A,2024-08-19,3835
WH-A,Camera,368.0,82,Supplier-A,2025-03-20,3303
WH-E,Tablet,241.0,64,Supplier-Y,2024-07-17,3098
WH-A,Tablet,104.0,231,Supplier-Z,2025-09-30,1677
WH-C,Keyboard,148.0,191,Supplier-X,2025-09-04,1384
WH-B,Keyboard,,214,Supplier-B,2024-12-26,1086
WH-E,Tablet,357.0,204,Supplier-Y,2025-10-01,3193
WH-E,Laptop,,214,Supplier-X,2024-12-19,2544
WH-E,Keyboard,412.0,208,Supplier-Y,2024-07-06,2863
WH-A,Camera,168.0,127,Supplier-B,2024-08-25,2601
WH-B,Printer,,65,Supplier-Z,2026-01-01,1730
WH-D,Printer,257.0,205,Supplier-A,2025-11-03,2994
WH-C,Mouse,224.0,144,Supplier-Z,2024-08-15,1835
WH-E,Mobile,143.0,118,Supplier-Z,2024-12-25,2609
WH-B,Tablet,45.0,148,Supplier-X,2024-08-22,1827
WH-E,Printer,463.0,133,Supplier-Y,2026-06-04,3834
WH-C,Monitor,275.0,169,Supplier-Y,2024-07-25,2430
WH-C,Camera,66.0,179,Supplier-X,2026-04-29,2282
WH-B,Monitor,,122,Supplier-B,2025-03-14,1703
WH-E,Camera,,77,Supplier-Z,2024-08-25,2670
WH-B,Keyboard,411.0,61,Supplier-Z,2025-08-04,2238
WH-A,Monitor,303.0,148,Supplier-Z,2025-01-01,2217
WH-D,Keyboard,368.0,82,Supplier-B,2025-02-02,2553
WH-D,Mouse,305.0,243,Supplier-Z,2025-12-02,2088
WH-B,Printer,,85,Supplier-B,2025-07-13,2215
WH-C,Camera,253.0,181,Supplier-B,2024-12-14,3080
WH-C,Mouse,221.0,239,Supplier-Y,2025-08-23,1894
WH-C,Mouse,444.0,175,Supplier-B,2024-10-11,2794
WH-E,Keyboard,,134,Supplier-A,2026-01-13,1844
WH-A,Printer,177.0,235,Supplier-B,2026-06-27,2627
WH-A,Camera,355.0,248,Supplier-Z,2026-05-17,3011
WH-E,Monitor,318.0,184,Supplier-X,2025-09-17,2926
WH-E,Printer,440.0,58,Supplier-Y,2025-09-21,3763
WH-A,Monitor,245.0,88,Supplier-X,2025-07-03,1796
WH-B,Printer,416.0,170,Supplier-B,2025-01-05,3544
WH-A,Tablet,126.0,219,Supplier-B,2026-03-02,2072
WH-E,Printer,108.0,186,Supplier-Z,2025-07-03,2749
WH-E,Mouse,332.0,113,Supplier-Z,2026-03-20,2438
WH-E,Keyboard,172.0,230,Supplier-Y,2025-05-13,1922
WH-D,Mouse,198.0,234,Supplier-A,2024-11-25,1934
WH-C,Mobile,366.0,151,Supplier-B,2024-09-12,3267
WH-C,Tablet,41.0,232,Supplier-Z,2024-09-14,1813
WH-C,Camera,402.0,101,Supplier-Z,2025-11-24,3679
WH-E,Keyboard,376.0,77,Supplier-B,2025-05-31,3043
WH-E,Monitor,45.0,185,Supplier-Y,2025-04-02,2000
WH-B,Laptop,231.0,170,Supplier-X,2025-05-26,2294
WH-B,Laptop,495.0,217,Supplier-B,2025-05-16,3885
WH-D,Camera,407.0,132,Supplier-Y,2025-06-28,3517
WH-A,Mobile,138.0,235,Supplier-B,2026-05-02,2199
WH-A,Tablet,471.0,59,Supplier-A,2026-01-18,3191
WH-D,Camera,499.0,124,Supplier-Y,2024-08-12,4095
WH-A,Laptop,310.0,135,Supplier-Z,2025-12-06,2625
WH-D,Camera,455.0,119,Supplier-Y,2025-11-20,3613
WH-A,Mouse,394.0,115,Supplier-Y,2025-11-14,1949
WH-B,Laptop,424.0,222,Supplier-Z,2024-09-15,3409
WH-B,Tablet,458.0,153,Supplier-B,2024-08-17,3447
WH-D,Mouse,225.0,97,Supplier-X,2025-05-09,1646
WH-D,Mouse,23.0,110,Supplier-Y,2026-01-17,1297
WH-C,Mouse,318.0,52,Supplier-Z,2025-03-21,1987
WH-C,Monitor,361.0,128,Supplier-X,2026-03-14,2414
WH-D,Keyboard,347.0,125,Supplier-X,2026-05-01,2229
WH-E,Monitor,88.0,166,Supplier-Y,2024-09-23,2396
WH-E,Mouse,379.0,170,Supplier-A,2025-01-10,2924
WH-E,Monitor,368.0,70,Supplier-Y,2024-11-26,3123
WH-D,Mouse,489.0,65,Supplier-X,2024-11-25,2791
WH-E,Monitor,294.0,133,Supplier-B,2025-08-21,3369
WH-E,Camera,368.0,199,Supplier-X,2025-06-14,3604
WH-A,Camera,252.0,156,Supplier-X,2024-10-17,2439
WH-E,Laptop,256.0,128,Supplier-B,2025-05-24,3688
WH-A,Printer,,105,Supplier-Z,2024-11-20,1746
WH-A,Laptop,196.0,188,Supplier-A,2025-02-02,2268
WH-A,Camera,166.0,246,Supplier-X,2025-06-25,2017
WH-D,Mouse,249.0,146,Supplier-A,2025-01-11,2139
WH-A,Tablet,80.0,187,Supplier-Z,2026-05-11,1691
WH-E,Tablet,,55,Supplier-Y,2026-06-18,2102
WH-D,Printer,214.0,113,Supplier-B,2024-08-28,3127
WH-C,Tablet,116.0,235,Supplier-Z,2025-06-10,2389
WH-A,Laptop,334.0,54,Supplier-A,2026-03-20,2775
WH-B,Mobile,,203,Supplier-X,2026-05-01,1494
WH-A,Monitor,225.0,188,Supplier-X,2026-04-26,1636
WH-A,Tablet,168.0,237,Supplier-B,2025-09-01,2248
WH-C,Mouse,174.0,219,Supplier-Y,2024-09-15,1588
WH-B,Printer,,201,Supplier-Z,2024-08-09,2100
WH-B,Printer,,138,Supplier-B,2025-11-19,2179
WH-D,Mouse,229.0,146,Supplier-A,2025-08-24,1981
WH-E,Camera,454.0,231,Supplier-Y,2026-04-11,3785
WH-D,Laptop,231.0,192,Supplier-B,2024-07-12,3314
WH-B,Printer,150.0,215,Supplier-Y,2024-09-11,2040
WH-D,Mouse,294.0,98,Supplier-X,2026-06-20,1808
WH-C,Printer,,68,Supplier-B,2026-02-06,2146
WH-E,Monitor,126.0,135,Supplier-A,2026-04-21,2483
WH-A,Monitor,399.0,243,Supplier-Y,2024-12-31,2392
WH-B,Monitor,488.0,132,Supplier-A,2024-11-07,3211
WH-C,Printer,293.0,128,Supplier-A,2025-05-12,2962
WH-C,Camera,70.0,234,Supplier-A,2025-07-13,2600
WH-C,Monitor,180.0,194,Supplier-Z,2025-07-09,2432
WH-B,Tablet,153.0,199,Supplier-X,2024-12-14,2005
WH-D,Keyboard,120.0,147,Supplier-Y,2026-05-03,1751
WH-B,Camera,355.0,136,Supplier-B,2025-05-08,3246
WH-D,Camera,106.0,140,Supplier-A,2026-06-01,2754
WH-B,Camera,489.0,214,Supplier-Y,2024-08-15,3247
WH-E,Laptop,438.0,245,Supplier-X,2024-11-05,3467
WH-D,Tablet,54.0,52,Supplier-Y,2025-04-21,2023
WH-E,Camera,50.0,220,Supplier-Z,2024-07-02,2915
WH-D,Camera,23.0,155,Supplier-X,2025-04-30,2125
WH-A,Keyboard,,228,Supplier-B,2025-01-22,1145
WH-D,Tablet,,88,Supplier-X,2026-06-20,1773
WH-B,Keyboard,156.0,70,Supplier-Z,2026-03-02,1459
WH-D,Camera,144.0,107,Supplier-B,2026-03-02,3035
WH-A,Laptop,227.0,191,Supplier-X,2025-06-19,2274
WH-A,Laptop,62.0,161,Supplier-Y,2025-02-07,1966
WH-C,Mobile,,104,Supplier-B,2025-05-25,2194
WH-E,Camera,43.0,225,Supplier-Z,2025-12-24,2722
WH-E,Laptop,495.0,54,Supplier-Y,2026-01-19,3841
WH-E,Tablet,,91,Supplier-A,2026-03-01,2438
WH-B,Printer,189.0,239,Supplier-B,2025-09-05,2488
WH-A,Mouse,70.0,69,Supplier-X,2025-11-27,684
WH-E,Printer,35.0,250,Supplier-Z,2026-01-10,2585
WH-D,Monitor,303.0,160,Supplier-Z,2025-07-14,2654
WH-E,Printer,415.0,113,Supplier-X,2024-10-29,3660
WH-A,Mobile,98.0,250,Supplier-Z,2024-11-25,1768
WH-B,Printer,204.0,51,Supplier-Z,2025-02-16,2419
WH-D,Mouse,72.0,97,Supplier-Z,2024-12-17,1536
WH-D,Printer,,191,Supplier-X,2024-08-15,1897
WH-E,Mouse,26.0,149,Supplier-A,2025-09-23,1876
WH-A,Monitor,286.0,147,Supplier-B,2026-01-23,2194
WH-B,Keyboard,157.0,66,Supplier-Z,2025-08-26,1356
WH-D,Keyboard,173.0,69,Supplier-A,2024-08-17,2003
WH-C,Monitor,324.0,167,Supplier-A,2026-02-01,2576
WH-B,Keyboard,222.0,208,Supplier-X,2025-03-01,1460
